,tc,family,cf,order
291699.cif,5.79,others,Ag1S0.2Se1.8Sn1,disorder
182834.cif,7.2,others,Na1Al1Si1,order
H1Ru1.cif,0.41,h_based,H1Ru1,order
57486.cif,1.1,heavy-Fermion,U1Rh2Si2,order
641044.cif,2.04,others,Ir1Zr1Si1,order
86764.cif,2.308333,others,Zr1Te3,order
Fe1H6.cif,42.9,h_based,Fe1H6,order
181439.cif,10.875,iron-based,As1Co0.15Fe0.85O1Sm1,disorder
44489.cif,5.8,others,Mo5B2Si1,order
97210.cif,30.0,cuprate,Ba0.014Ca0.016Cu1La1.85O4Sr0.12,disorder
670737.cif,6.0,heavy-Fermion,La1Cu1,order
196983.cif,6.75,others,Hg0.15Pb0.85,disorder
96228.cif,0.6,others,Ca2In1N1,order
71731.cif,90.0,cuprate,Ba2Cu3O6.92Sm1,disorder
181440.cif,5.8,iron-based,As1Co0.175Fe0.825O1Sm1,disorder
641257.cif,2.1,others,K2Mo15Se19,order
670941.cif,4.75,others,Bi2Cs1,order
618809.cif,10.2,others,C2.7Sn0.2Y1.8,disorder
169971.cif,13.3,iron-based,Fe1Se0.75Te0.25,disorder
69264.cif,87.0,cuprate,Ba4Cu7O15.03Y2,disorder
75715.cif,63.666667,cuprate,Ba2Cu4O8Pr0.3Y0.7,disorder
192215.cif,6.125,others,Nb2Pd1S5,order
105891.cif,2.2,others,Sc5Re24,order
191274.cif,0.65,others,Pb3Ca1,order
Po1H4.cif,53.6,h_based,Po1H4,order
603209.cif,6.2,heavy-Fermion,La3Sn1,order
645173.cif,4.25,others,Nb1Rh1P1,order
151669.cif,29.8,cuprate,Cu2Gd1O8Rh0.075Ru0.925Sr2,disorder
415594.cif,1.916667,heavy-Fermion,La1Rh1Sn1,order
58747.cif,0.917755,heavy-Fermion,U1Be13,order
182595.cif,11.23,others,Ba1Bi0.3O3Pb0.7,disorder
650601.cif,2.09,others,Sc1Ru2,order
239116.cif,4.846,others,Bi4O4S3,disorder
72213.cif,85.0,cuprate,Bi1Ca0.5Cu2O8Pb1Sr2Y0.5,disorder
65387.cif,91.0,cuprate,Ba2Cu3Er1O6.93,disorder
263005.cif,4.63,others,Y1Si3,order
108146.cif,5.075,others,Ir2Ca1,order
16306.cif,9.733333,others,Zr1Ru1Si1,order
92378.cif,30.675,cuprate,Cu0.99La1.85Ni0.01O4Sr0.15,disorder
259535.cif,4.7,others,Y1B12,order
96778.cif,89.5125,cuprate,Ba2Cu3O6.98Y1,disorder
H4Sn1.cif,62.0,h_based,H4Sn1,order
63428.cif,67.4,cuprate,Ba2Cu3Nd1O6.85,disorder
640973.cif,1.55,others,Sc1Ir2,order
610989.cif,2.353333,others,Nb3As1,order
614504.cif,6.14,heavy-Fermion,Ho1Ru0.6Rh3.4B4,disorder
107717.cif,0.126,others,Ag0.667Al0.333,disorder
416365.cif,3.7,others,Mo5Ru1Se8,disorder
104509.cif,4.75,others,Ir1.05Nb0.95,disorder
191391.cif,4.89,others,Co0.75Cu0.25Zr2,disorder
201695.cif,1.4,others,Br2,order
609713.cif,0.175,others,Zr1Al2,order
161915.cif,36.916667,others,B2Li0.1Mg0.9,disorder
55065.cif,3.6,others,Bi1K1,order
N1S2H7.cif,46.4,h_based,N1S2H7,order
104022.cif,15.3,others,V0.75Ga0.25,disorder
105983.cif,5.95,others,Rh0.07Zr0.93,disorder
16075.cif,12.5,others,Nb1P1S1,order
614648.cif,2.57,heavy-Fermion,La1Rh3B2,order
83921.cif,78.0,cuprate,Ba2Cu4O8Tb0.1Y0.9,disorder
Li1Au2H1.cif,0.06,h_based,Li1Au2H1,order
78872.cif,11.6,others,Y2C2Br0.5I1.5,disorder
186391.cif,36.466667,others,Al0.05B2Mg0.95,disorder
608123.cif,0.37,others,Hf1Ni2Al1,order
641461.cif,11.233333,others,La1Mo6Se8,order
670547.cif,0.22,others,Au1In2,order
626975.cif,0.75,others,Cs1,order
236995.cif,0.55,heavy-Fermion,U1Ge2,order
636714.cif,2.55,heavy-Fermion,Lu5Ir4Ge10,order
191914.cif,3.19,others,Re7B3,order
196898.cif,14.6,others,Al1Nb2.91Zr0.09,disorder
75716.cif,55.25,cuprate,Ba2Cu4O8Pr0.4Y0.6,disorder
634320.cif,1.12,others,Hf1Ni2Ga1,order
203119.cif,44.7,cuprate,Ba2Ca0.26Cu3O6Y0.74,disorder
200563.cif,0.0241,others,Rb1C8,order
641457.cif,6.73,others,La1Mo6S8,order
659383.cif,2.35,others,Ag1In2,order
82696.cif,61.0,cuprate,Ba2Ca0.2Cu3O6.49Y0.8,disorder
636934.cif,2.79,heavy-Fermion,Lu5Rh4Ge10,order
186177.cif,5.0,others,Na1C2,order
247616.cif,14.8,iron-based,As2Ca1Co0.126Fe1.874,disorder
58827.cif,8.63,others,Pb0.7Bi0.3,disorder
H4Nb1.cif,47.0,h_based,H4Nb1,order
102839.cif,2.02,others,Ru1Cr2,disorder
603457.cif,2.55,others,Pr1Mo6S8,order
Tb1H12.cif,170.5,h_based,Tb1H12,order
183085.cif,0.80775,heavy-Fermion,La1Os4Sb12,order
75813.cif,87.357143,cuprate,Ba2Ca0.1Cu4O8Y0.9,disorder
236470.cif,1.175,heavy-Fermion,La1N1,order
108628.cif,0.6,others,Nb0.6Ru0.4,disorder
89170.cif,32.2,cuprate,Ba1.6Cu3La0.4O7Y1,disorder
636535.cif,3.9475,others,Ge1,order
108680.cif,1.29,others,W0.4Pd0.6,disorder
Tb1H1.cif,7.3,h_based,Tb1H1,order
672014.cif,6.91125,others,Mg1Ni3C1,order
161919.cif,28.5,others,B1.82C0.18Li0.1Mg0.9,disorder
612356.cif,1.25,others,Au1Sn1,order
Sc1H4.cif,98.0,h_based,Sc1H4,order
431419.cif,2.4,heavy-Fermion,La1Rh1Al1,order
262736.cif,3.4,others,Ca1Ge3,order
652831.cif,4.4625,others,V3Sn1,order
53801.cif,5.016667,others,Se1,order
97213.cif,23.5,cuprate,Ba0.06Ca0.074Cu1La1.85O4Sr0.016,disorder
100193.cif,1.12,others,Cs0.32O3W1,disorder
23578.cif,9.0,others,Zr1Ru1Ge1,order
80716.cif,127.0,cuprate,Ba2Ca1Cu2Hg1O6.22,disorder
63326.cif,91.65,cuprate,Ba2Cu3O7.1Y1,disorder
635683.cif,3.85,others,Zr5Ga3,order
H1Se1.cif,40.0,h_based,H1Se1,order
186655.cif,12.66,iron-based,As1Co0.075Fe0.925La1O1,disorder
650205.cif,3.875,others,Re24Zr5,order
647807.cif,1.72,others,Os1Zr1Si1,order
193610.cif,30.25,iron-based,Ba1Fe2P0.7As1.3,disorder
104898.cif,0.88,others,Mg2Zn11,order
636939.cif,2.3,heavy-Fermion,Lu3Ru4Ge13,order
641054.cif,0.715,others,Ir1Sn2,order
65652.cif,2.75,others,Mo4P3,order
185467.cif,14.3,others,Fe1.03Se0.5Te0.5,disorder
H2Ta1.cif,7.1,h_based,H2Ta1,order
611576.cif,0.9,others,W1As2,order
58016.cif,1.075,others,Nb1Ni2Al1,order
653292.cif,12.8,others,Ti0.013V0.987,disorder
74257.cif,86.25,cuprate,Ba2Ca0.07Cu4O8Y0.93,disorder
181258.cif,0.085,others,Cu2Sb1,order
184218.cif,20.05,iron-based,As2Ba1Co0.2Fe1.8,disorder
56261.cif,2.6575,others,Au2Pb1,order
621843.cif,0.421,heavy-Fermion,Ce1Pd2Si2,order
426890.cif,2.94,others,Bi14Rh3,order
52344.cif,1.675,others,W3O1,order
27104.cif,1.02,others,La1Se1,order
84513.cif,8.0,others,K2Na1H3C60N1,disorder
104690.cif,7.575,heavy-Fermion,La1Os2,order
645115.cif,3.15,others,Nb1Ni2Sn1,order
161916.cif,35.3,others,B2Li0.11Mg0.89,disorder
183171.cif,1.666667,others,Rh1C1,order
79061.cif,30.0,cuprate,Bi2Cu1La0.3O6Sr1.7,disorder
611867.cif,1.2,others,Au1Ga1,order
56051.cif,0.99,heavy-Fermion,U5Ge3,order
108164.cif,3.8,others,Re1Mo1C2,disorder
617101.cif,4.898,others,Bi2Se3,order
81178.cif,51.7,cuprate,Ba2Cu3La0.5O7Pr0.5,disorder
651263.cif,4.1,others,Tl1V6S8,disorder
621955.cif,0.914,heavy-Fermion,Ce1Rh1Si3,order
H4Y1.cif,95.0,h_based,H4Y1,order
609358.cif,16.1,others,Al0.1Si0.9V3,disorder
108148.cif,0.35,others,Pt2Sr1,order
92384.cif,29.6,cuprate,Cu0.9La1.85Mg0.1O4Sr0.15,disorder
168583.cif,3.075,others,La1Fe4P12,order
671042.cif,0.501,others,Ru1,order
600057.cif,2.65,others,Nb1Ru1Si1,order
641899.cif,0.8,heavy-Fermion,La1Sb2,order
H1Cl1.cif,20.0,h_based,H1Cl1,order
36377.cif,2.0,others,Ba1Pd2As2,order
130023.cif,6.9,heavy-Fermion,La5B2C6,disorder
671780.cif,3.1,others,Hf1B1,order
246434.cif,10.8,heavy-Fermion,Er0.8Lu0.2Ni2B2C1,disorder
Tb1H9.cif,226.3,h_based,Tb1H9,order
253703.cif,1.8,others,Bi1Cu1,order
105702.cif,4.03,others,Pd2Sn1Y0.7Yb0.3,disorder
606027.cif,0.385,others,Au0.86Al0.14,disorder
291925.cif,2.68,others,Y1Au1.3Pd0.7In1,disorder
67105.cif,37.6,cuprate,Ca0.5Cu2O6.75Sm0.5Sr2Tl1,disorder
647834.cif,1.51,heavy-Fermion,Th7Os3,order
673848.cif,2.1,others,Ir2Ba1P2,order
161789.cif,7.4,iron-based,Fe1Se0.92,disorder
82529.cif,3.9,others,Ba2Sn3Sb6,order
637839.cif,1.3,others,Sc1Ge2,order
628214.cif,0.021,heavy-Fermion,La1Cu6,order
105406.cif,1.975,heavy-Fermion,Th7Ni3,order
635423.cif,18.2,others,V3Ga0.5Si0.5,disorder
259578.cif,3.2005,cuprate,Cu0.96La1.85Ni0.04O4Sr0.15,disorder
157839.cif,1.0,others,Ca2K1Nb3O10,order
164196.cif,0.783333,others,Ba1Ni2As2,order
644122.cif,3.77,others,Pb1Mo6Se8,order
629329.cif,1.3,others,Cu1Te2,order
617054.cif,2.94,others,Bi0.5Sb0.5,disorder
191430.cif,0.343333,others,Pt1Al2,order
105206.cif,2.5,others,Nb0.9Pt0.1,disorder
67406.cif,6.59,heavy-Fermion,Sc1Lu4Ir4Si10,disorder
645437.cif,0.345,others,Nb5Si3,order
261841.cif,16.533333,others,Mg0.05N0.92Nb0.95O0.08,disorder
635132.cif,1.74,others,Pt1Ga1,order
674894.cif,0.8508,others,Zn1,order
105723.cif,4.71,others,Pd0.2Ti0.8,disorder
647817.cif,1.95,others,Ta1Os1,disorder
89171.cif,0.3,cuprate,Ba1.5Cu3La0.5O7Y1,disorder
616438.cif,5.21,others,Be22Tc1,order
Tb1H6.cif,148.3,h_based,Tb1H6,order
638705.cif,0.87,others,Hf2Ni1,order
161913.cif,38.4,others,B2Mg0.98,disorder
634779.cif,1.54,others,Nb1Ni2Ga1,order
43662.cif,4.75,others,Re3B1,order
612239.cif,4.325,others,Au1Pb3,order
640555.cif,3.625,others,In0.05Sn0.95,disorder
644398.cif,1.402,others,Mo3Si1,order
76150.cif,3.94125,others,Te1,order
51997.cif,4.9,others,Nb3In1,order
160627.cif,14.0,cuprate,Ba2Cu3Nd1O6.6,disorder
603451.cif,1.6,others,Gd1Mo6S8,order
108323.cif,2.358,heavy-Fermion,U6Co1,order
672813.cif,0.795,others,Ta3Al1,order
641661.cif,1.48,heavy-Fermion,La7Pd3,order
58724.cif,1.47,others,Be17Nb2,order
657339.cif,0.58,others,Rh1As1,order
281728.cif,1.3,others,Na0.5Nb1S2,disorder
419206.cif,4.3,others,Ba1Sn3,order
196332.cif,8.1425,others,Ba8Si46,order
672464.cif,6.666666667,others,Si1,order
24046.cif,1.98,others,O3Rb0.27W1,disorder
189036.cif,2.9965,iron-based,K1Fe2As2,order
237698.cif,1.87,heavy-Fermion,Ge1.8La1,disorder
97211.cif,28.5,cuprate,Ba0.026Ca0.034Cu1La1.85O4Sr0.09,disorder
612635.cif,1.2,heavy-Fermion,Lu1B2C2,order
Sc1H9.cif,180.0,h_based,Sc1H9,order
102028.cif,0.138,others,Cd0.9Mg0.1,disorder
189030.cif,18.0,iron-based,As2Ba0.79Fe2K0.21,disorder
674394.cif,2.89,others,La1Ni1C2,order
165617.cif,3.9,others,Sr1Sn3Sb4,order
641204.cif,7.365,others,Ir1Zr2,order
614703.cif,10.093625,heavy-Fermion,Lu1Rh4B4,order
640836.cif,7.9,others,Ir1Nb1,order
154982.cif,11.872727,others,Li1Ti2O4,order
153099.cif,2.9,others,Ba8Cu4Si42,disorder
649774.cif,0.58,others,Pt1Ti3,order
648282.cif,2.76,others,W3P1,order
79574.cif,23.0,others,Y1Ni2B2C1,order
618369.cif,13.8,others,C2.9Mo0.2Y1.8,disorder
108566.cif,1.03,heavy-Fermion,Th1In1.5Sn1.5,disorder
24190.cif,1.8,others,Ir3Te8,disorder
163909.cif,4.0875,others,Ir19Mg10B16,order
653267.cif,6.29,others,Th0.25Zr0.75,disorder
609498.cif,0.045,heavy-Fermion,Th2Al1,order
23786.cif,3.6,others,Ir1Mo2B2,order
637485.cif,8.946667,others,Y5Os4Ge10,order
Tb1H5.cif,79.3,h_based,Tb1H5,order
647720.cif,5.3525,others,Os1P1Zr1,order
82070.cif,3.74,heavy-Fermion,La6Zn1Sb15,disorder
423134.cif,2.65,heavy-Fermion,La3Ru4Sn13,order
641905.cif,0.25,heavy-Fermion,La4Sb3,order
74114.cif,32.0,cuprate,C0.85B0.15Cu1O5Sr2,disorder
59473.cif,0.7,others,Pd1In1,order
337.cif,1.48,others,Y3Rh2,order
195266.cif,2.9,others,Nb4Ga1Se8,order
102108.cif,2.037308,heavy-Fermion,Ce1Co1In5,order
69484.cif,12.8,cuprate,Ce0.17Cu1Nd1.83O4,disorder
67128.cif,80.8,cuprate,Ba2Ca1Cu2O7Tl1,order
184646.cif,26.0,iron-based,La1Fe1As1O0.95F0.05,disorder
601574.cif,5.323333,heavy-Fermion,Nd1Rh4B4,order
618750.cif,11.2,others,C2.7Ru0.2Y1.8,disorder
74641.cif,0.135,others,Cs1C8,order
193616.cif,2.9,others,Y1Fe2Si2,order
656306.cif,1.9,others,Zr5Sn3,order
187860.cif,0.235,others,Y1Cu1,order
Ge1H3.cif,90.0,h_based,Ge1H3,order
78622.cif,79.42,cuprate,Ba2Cu4O8Tm1,order
645157.cif,1.78,others,Os2Nb3,disorder
291812.cif,17.8,others,Nb1C0.35N0.65,disorder
628836.cif,1.625,others,Cu1S1Se1,disorder
106157.cif,1.161429,others,Th1,order
641780.cif,2.35,heavy-Fermion,La5Ru2,order
104438.cif,4.06,others,Ho0.1Pd2Sn1Y0.9,disorder
647956.cif,1.8,heavy-Fermion,Pr1Ru4P12,order
41090.cif,2.75,others,Nb1Sn1.17S3.17,order
628449.cif,5.9,others,Mo6Cu1Se8,order
601623.cif,0.39,heavy-Fermion,La1Pd2Si2,order
601577.cif,2.6475,heavy-Fermion,Sm1Rh4B4,order
153904.cif,21.2325,cuprate,Ce0.15Cu1Nd1.85O4,disorder
634746.cif,16.888889,others,Nb3Ga1,order
641028.cif,2.7,others,Y1Ir1Si1,order
192129.cif,5.2,others,Bi0.9Sb0.1,disorder
Bi1H6.cif,113.0,h_based,Bi1H6,order
10035.cif,4.45,others,V2Cu1S4,order
75859.cif,51.0,cuprate,Cu2.7Fe0.3O7.1Sr2Y1,disorder
43358.cif,2.29,others,Cd1Sn1As2,order
191907.cif,0.25,others,Mo1B1,order
169422.cif,2.206,others,In1Te1,order
621980.cif,5.998273,heavy-Fermion,Ce1Ru2,order
82836.cif,81.1,cuprate,Ba2Ca0.1Cu3O6.91Y0.9,disorder
636932.cif,2.3,heavy-Fermion,Lu3Rh4Ge13,order
618775.cif,6.7,others,C3Sc0.2Th1.8,disorder
30837.cif,0.96,others,Y1Pd2P2,order
H2V1.cif,0.5,h_based,H2V1,order
637671.cif,2.7,others,Re1Ge2,order
615346.cif,10.95775,others,Y1Rh4B4,order
642439.cif,2.2,others,Lu1Mo6S8,order
104484.cif,0.24,heavy-Fermion,La1Ir2,order
259579.cif,2.1,cuprate,Cu0.95La1.85Ni0.05O4Sr0.15,disorder
74368.cif,28.0,others,K3H3C60N1,disorder
106148.cif,10.4,others,Tc0.9W0.1,disorder
600661.cif,7.7,others,Mo6Ag1S8,order
191273.cif,7.0,others,Pb1Ca1,order
602519.cif,24.0,others,Cs1K2C60,disorder
673897.cif,0.091333,others,Ir1,order
626570.cif,0.07,others,Rh1Cr3,order
104556.cif,1.45,heavy-Fermion,Th1Ir1.2Ru0.8,disorder
618235.cif,10.3,others,Lu0.2Th1.8C3,disorder
619390.cif,13.0,others,Ca1Li2,order
104609.cif,4.1,others,Ir2Zr1,order
615212.cif,2.78,others,Pt3Sr0.67B2,disorder
246536.cif,37.95,others,Al0.01B2Mg0.99,disorder
196889.cif,11.673,others,C1Mo0.85Nb0.15,disorder
641096.cif,1.52,heavy-Fermion,Th7Ir3,order
76622.cif,4.7,others,Ir1Ge1,order
83088.cif,55.0,cuprate,Cu2.8O7Re0.2Sr2Y1,disorder
H3S1.cif,203.0,h_based,H3S1,order
58501.cif,2.3,others,Au1In1Pd1Y1,disorder
640823.cif,8.031,others,Ir1Mo3,order
85396.cif,78.0,cuprate,Ba2Cu1Hg1O4.31,disorder
650661.cif,1.1,others,Y1Ru2Si2,order
167533.cif,0.08,heavy-Fermion,Yb1B4Al1,order
99289.cif,66.9,cuprate,Ba1.2Cu3Nd1O6.97Sr0.8,disorder
35593.cif,8.716667,others,Zr1Ru1As1,order
185377.cif,3.3,others,Ir1Ca1Si3,order
58582.cif,2.0,others,Sc1Au1,order
188287.cif,7.5,others,Nb2In1C1,order
99288.cif,75.0,cuprate,Ba1.4Cu3Nd1O6.94Sr0.6,disorder
173918.cif,61.966667,cuprate,Ba2Cu3O6.71Y1,disorder
Bi1H3.cif,65.0,h_based,Bi1H3,order
52843.cif,0.85,others,Ce1,order
629953.cif,1.6,others,Dy1Mo6S8,order
641179.cif,1.61,others,Y3Ir2,order
87288.cif,22.1,cuprate,Ce0.15Cu1Nd1.85O3.95,disorder
673850.cif,1.0,others,Ba1Rh2P2,order
198657.cif,1.231538,heavy-Fermion,U1Ru2Si2,order
105579.cif,1.5,others,Os0.1W0.9,disorder
197927.cif,1.17,heavy-Fermion,Er1Pd2Sn1,order
102798.cif,4.25,others,Au1Tl2,order
191248.cif,15.0,iron-based,Fe1Se0.5Te0.5,disorder
242099.cif,0.435,heavy-Fermion,Lu1B12,order
642559.cif,2.4,heavy-Fermion,Lu1Ru2Si2,order
263006.cif,6.78,heavy-Fermion,Lu1Si3,order
105907.cif,6.75,others,W0.65Re0.35,disorder
423220.cif,8.8,others,Y1Tc2,order
640011.cif,1.5,others,Mo15In2Se19,order
77223.cif,13.2,others,W0.2Nb0.8C1,disorder
602384.cif,0.32,others,Cs1V6S8,disorder
Tb1H10.cif,277.8,h_based,Tb1H10,order
658225.cif,0.9,heavy-Fermion,La1Cu1Sb2,order
619112.cif,3.895429,others,Y1C2,order
H9Y1.cif,250.0,h_based,H9Y1,order
67581.cif,1.585,others,Cu1S1,order
710023.cif,4.99,others,Zr1P1.4S0.6,disorder
40515.cif,20.0,others,Ba0.54Bi1K0.46O3,disorder
150516.cif,2.23,others,Y1Ru2,order
77939.cif,1.96,heavy-Fermion,La1Ni1B1N1,order
74122.cif,92.3,cuprate,Ba2Cu3Dy1O6.9,disorder
409466.cif,2.91,others,Ba1Bi0.1O3Pb0.9,disorder
647921.cif,0.35,others,Pd3P1,order
83140.cif,78.2,cuprate,Ba2Ca0.2Cu3O6.89Y0.8,disorder
634056.cif,4.49,others,Fe0.3V1.7Zr1,disorder
615399.cif,7.7,others,Y1Ru1B2,order
150517.cif,1.83,others,Y1Re2,order
80202.cif,2.5,iron-based,Sm1Fe1P1O1,order
26251.cif,8.5,others,Nb4N5,order
645495.cif,2.64,others,Nb1Sn2,order
657331.cif,31.15,others,Cs1Rb2C60,disorder
82339.cif,23.1,others,Bi1Ba0.542K0.458O3,disorder
183018.cif,1.535,others,Y1Te1,order
651750.cif,1.3,heavy-Fermion,Yb1Sb2,order
168766.cif,11.9,iron-based,Fe1.03Se0.1Te0.9,disorder
651405.cif,1.9,others,Y1S1,order
263004.cif,4.25,others,Ca1Si3,order
87976.cif,25.0,cuprate,Cu1La1.913O4Sr0.087,disorder
608019.cif,0.21,others,Th2Al0.5Ge0.5,disorder
67854.cif,54.0,cuprate,Ca1Cu2La1.8O5.96Sr0.2,disorder
105081.cif,12.75,others,Re0.3Mo0.7,disorder
75718.cif,37.875,cuprate,Ba2Cu4O8Pr0.6Y0.4,disorder
612852.cif,0.55,heavy-Fermion,Ce1Ru3B2,order
59560.cif,3.223,others,In0.8Tl0.2,disorder
76625.cif,0.4,others,Pt1Ge1,order
649057.cif,1.32,others,Tl2Pd1,order
78626.cif,87.0,cuprate,Ba2Ca0.02Cu4O8Y0.98,disorder
674033.cif,1.425,others,C1Si1,order
670749.cif,9.85,others,Zr1N1,order
Ca1H6.cif,235.0,h_based,Ca1H6,order
646550.cif,3.7,others,Tl1Ni2Se2,order
646714.cif,1.6,heavy-Fermion,Sm1Ni1,order
105977.cif,0.56,others,Y1Rh5,order
57864.cif,12.9,others,V3Al0.5Ga0.5,disorder
197253.cif,1.245,others,Au1Zn3,order
637488.cif,3.9,others,Y3Os4Ge13,order
33819.cif,8.7,others,Pb0.85Bi0.15Ba1O3,disorder
108126.cif,3.93,others,Bi0.05Sn0.95,disorder
23864.cif,0.21,others,Pd4Se1,order
24282.cif,7.775,others,Mo1B2.5,order
236950.cif,7.0,heavy-Fermion,La1Ge5,order
165332.cif,0.26,others,N1S1,order
108135.cif,3.4,others,Hf0.5Mo0.5C1,disorder
97221.cif,31.1,cuprate,Ba0.124Cu1La1.812Nd0.038O4Sr0.026,disorder
168817.cif,4.95,heavy-Fermion,Np1Pd5Al2,order
105148.cif,6.45,others,Al0.9Ge0.1,disorder
625996.cif,3.3,heavy-Fermion,Cr0.2Fe0.8U6,disorder
150819.cif,0.37,heavy-Fermion,Th1Ir1,order
259577.cif,13.975,cuprate,Cu0.97La1.85Ni0.03O4Sr0.15,disorder
638675.cif,8.905,others,Hf0.5Nb0.5,disorder
180606.cif,7.36625,iron-based,Fe1S0.2Te0.8,disorder
616961.cif,1.2,others,Bi1Pd1Te1,order
614694.cif,4.655,heavy-Fermion,Lu1Os3B2,order
247864.cif,0.69,heavy-Fermion,Ce2Pd1In8,order
610778.cif,10.3,heavy-Fermion,La1Ru4As12,order
414514.cif,5.3,heavy-Fermion,La1Ir1P1,order
618496.cif,3.933333,others,Nb2C1Sn1,order
La1H10.cif,254.0,h_based,La1H10,order
642029.cif,4.0275,others,La3Te4,order
600489.cif,3.175,others,Bi3Rh1,order
247832.cif,5.492222,heavy-Fermion,Lu2Fe3Si5,order
184636.cif,10.033333,iron-based,Fe1Se0.1Te0.9,disorder
150541.cif,0.44,heavy-Fermion,Th1Pt1,order
641749.cif,4.35,heavy-Fermion,La1Rh1Si1,order
251846.cif,7.5,others,Ba8Ga16Ge30,disorder
624053.cif,0.175,heavy-Fermion,Lu3Co1,order
53119.cif,4.575,others,Tl2Mo6Se6,order
651601.cif,0.72,others,Ta3Sb1,order
65923.cif,93.0,cuprate,Ba2Cu3La1O6.85,disorder
53656.cif,0.87,others,Ir3Ge7,order
156465.cif,7.61,others,Li2Pd3B1,order
671192.cif,8.593333,others,Mo1Ga4,order
259588.cif,3.02,others,Cd1Ge1As2,order
616874.cif,0.79,others,Bi2Ni3S2,order
246810.cif,6.7,heavy-Fermion,La1Si10,order
181819.cif,78.0,cuprate,Ba1Cu3Er1O6.94Sr1,disorder
657497.cif,1.2,others,I2,order
H4Te1.cif,104.0,h_based,H4Te1,order
619086.cif,11.5,others,C2.9V0.2Y1.8,disorder
618713.cif,3.8,others,W1Re1C2,disorder
44422.cif,1.65,heavy-Fermion,La1Ir3B2,order
77414.cif,9.92,others,Ta0.8W0.2C1,disorder
77109.cif,1.25,others,Pd1Sb2,order
78635.cif,30.04,cuprate,Cu1La1.875O4Sr0.125,disorder
623774.cif,0.56,others,Hf2Co1,order
290510.cif,84.1,cuprate,Ba2Cu3O7Pr0.1Y0.9,disorder
196699.cif,8.3,others,Nb3Si0.5Sn0.5,disorder
168770.cif,11.0,iron-based,Fe1.04Se0.05Te0.95,disorder
625339.cif,0.82,others,Ta2Co1,order
77553.cif,6.7,others,W0.5Ti0.5C1,disorder
635498.cif,2.5,heavy-Fermion,Tb1Ga6,order
Sc1H6.cif,129.0,h_based,Sc1H6,order
203120.cif,47.5,cuprate,Ba2Ca0.28Cu3O6Y0.72,disorder
671258.cif,0.7,heavy-Fermion,La1In3,order
426369.cif,1.2,others,Nb2Pd0.67Se5,disorder
180270.cif,2.75,others,Sc2Sr4Ni2As2O6,order
252344.cif,35.0,iron-based,Ca1Rb1Fe4As4,order
202190.cif,2.891667,others,Li0.9Mo6O17,disorder
638810.cif,5.203333,others,Hf1Re2,order
