,tc,family,cf,order
Li2Au2H1.cif,0.02,h_based,Li2Au2H1,order
636821.cif,0.345,heavy-Fermion,La1Ni2Ge2,order
671985.cif,39.0,others,Mg1B2,order
60072.cif,5.7,others,Zr2Ru3Si4,order
416423.cif,0.48,heavy-Fermion,La1Pt2Ge2,order
637475.cif,1.1,heavy-Fermion,Th1Os2Ge2,order
616336.cif,2.5275,others,Be22Mo1,order
641512.cif,2.1,heavy-Fermion,La7Ni3,order
650205.cif,3.875,others,Re24Zr5,order
619390.cif,13.0,others,Ca1Li2,order
191914.cif,3.19,others,Re7B3,order
155044.cif,0.0502,others,Pb2Ag5O6,order
635645.cif,3.57,others,V2Ga5,order
105500.cif,0.85,heavy-Fermion,La1Pd2Al3,order
Mg1Ge1H6.cif,67.0,h_based,Mg1Ge1H6,order
H4Nb1.cif,47.0,h_based,H4Nb1,order
105157.cif,5.62,others,Pb3Na1,order
H1Ru1.cif,0.41,h_based,H1Ru1,order
197176.cif,2.133333,others,W2B1,order
616499.cif,4.12,others,W1Be22,order
53900.cif,2.116667,others,Y3Ru4Ge13,order
H2Nb1.cif,4.0,h_based,H2Nb1,order
606036.cif,0.0475,others,Au1Al2,order
58721.cif,2.15,others,Be2Nb1,order
16075.cif,12.5,others,Nb1P1S1,order
58900.cif,1.6,others,Hg1Ca1,order
653336.cif,1.52,others,Y1Tl3,order
603586.cif,3.4,others,Mo6Sn1Se8,order
168863.cif,1.0,others,Pt1Sr1Ge3,order
641179.cif,1.61,others,Y3Ir2,order
76625.cif,0.4,others,Pt1Ge1,order
610771.cif,6.5,heavy-Fermion,La4As3,order
163836.cif,2.71,others,La1Ni1As1O1,order
639082.cif,0.16,others,Hg1Mg3,order
187860.cif,0.235,others,Y1Cu1,order
610652.cif,3.2,others,Hf1Os1As1,order
674894.cif,0.8508,others,Zn1,order
237706.cif,5.936667,others,Mo3P1,order
634746.cif,16.888889,others,Nb3Ga1,order
624053.cif,0.175,heavy-Fermion,Lu3Co1,order
191430.cif,0.343333,others,Pt1Al2,order
650601.cif,2.09,others,Sc1Ru2,order
165617.cif,3.9,others,Sr1Sn3Sb4,order
192215.cif,6.125,others,Nb2Pd1S5,order
24282.cif,7.775,others,Mo1B2.5,order
106009.cif,0.0725,heavy-Fermion,U1Ru3,order
651959.cif,2.1,others,Ta1Se3,order
102798.cif,4.25,others,Au1Tl2,order
230025.cif,1.9,heavy-Fermion,Lu1Pt2Si2,order
66771.cif,3.4,others,Sr3Rh8B6,order
422403.cif,3.46,others,Sc1Ir1P1,order
169422.cif,2.206,others,In1Te1,order
649630.cif,1.1,heavy-Fermion,Th1Pt2Si2,order
417662.cif,6.3,others,Ba1Al1Ge1,order
30526.cif,3.5,others,Bi4Te3,order
650085.cif,1.71,others,Sc1Re2,order
161868.cif,0.805,heavy-Fermion,Ce1Ir1Ge3,order
160797.cif,5.17,others,Pt4Ba1Ge12,order
648942.cif,2.82,heavy-Fermion,Pd2Sn1Tm1,order
Hf1H2.cif,12.0,h_based,Hf1H2,order
156998.cif,2.065,heavy-Fermion,La3Pd4Si4,order
197839.cif,11.0225,others,Os1Mo3,order
76150.cif,3.94125,others,Te1,order
263018.cif,20.125,iron-based,Ba2Ti2Fe2As4O1,order
106236.cif,0.296667,others,Zr1Zn2,order
80091.cif,0.9,others,Ti1Se2,order
638705.cif,0.87,others,Hf2Ni1,order
637963.cif,2.3,others,Ta1Ge2,order
108323.cif,2.358,heavy-Fermion,U6Co1,order
675364.cif,1.975,others,In1N1,order
658347.cif,1.17,heavy-Fermion,Yb1Pd2Ge2,order
196227.cif,3.8,others,Ta5B2Ge1,order
671242.cif,10.5,others,Y1Pt2B2C1,order
647956.cif,1.8,heavy-Fermion,Pr1Ru4P12,order
671039.cif,0.650333,others,Os1,order
168817.cif,4.95,heavy-Fermion,Np1Pd5Al2,order
247832.cif,5.492222,heavy-Fermion,Lu2Fe3Si5,order
In1H5.cif,27.1,h_based,In1H5,order
610156.cif,1.838,others,Cr1As1,order
634320.cif,1.12,others,Hf1Ni2Ga1,order
619211.cif,5.75,others,Ca3Co4Sn13,order
653749.cif,3.45,others,Cu1Al1,order
H3Sb1.cif,68.0,h_based,H3Sb1,order
104484.cif,0.24,heavy-Fermion,La1Ir2,order
51974.cif,3.2,others,Mg2In1,order
671673.cif,0.906667,others,Y1Pt1Bi1,order
431419.cif,2.4,heavy-Fermion,La1Rh1Al1,order
198771.cif,1.1125,heavy-Fermion,Ce1Co2,order
628449.cif,5.9,others,Mo6Cu1Se8,order
65652.cif,2.75,others,Mo4P3,order
645351.cif,8.6,others,Nb5Sb4,order
647766.cif,4.6,others,Sc1Os2,order
649758.cif,0.49,heavy-Fermion,Th7Pt3,order
65052.cif,0.53,others,Pd7Se2,order
Fe1H5.cif,45.8,h_based,Fe1H5,order
642164.cif,2.6,others,Li2Mo15Se19,order
616956.cif,1.0,others,Bi1Pd1Se1,order
104327.cif,1.62,others,Hg2Na1,order
612288.cif,0.29,others,Au1Sb2,order
In1H3.cif,40.5,h_based,In1H3,order
53801.cif,5.016667,others,Se1,order
58395.cif,0.4,others,Au5Ba1,order
616410.cif,1.35,others,Be2Ru1,order
615755.cif,2.75,others,Zr1B2,order
651785.cif,1.5,others,Zr5Sb3,order
57480.cif,3.8,others,Re2Si1,order
638956.cif,5.6,others,Hf1Tc2,order
197253.cif,1.245,others,Au1Zn3,order
616957.cif,0.96,others,Bi2Pd3Se2,order
423134.cif,2.65,heavy-Fermion,La3Ru4Sn13,order
80202.cif,2.5,iron-based,Sm1Fe1P1O1,order
36377.cif,2.0,others,Ba1Pd2As2,order
74641.cif,0.135,others,Cs1C8,order
415594.cif,1.916667,heavy-Fermion,La1Rh1Sn1,order
197493.cif,3.3,heavy-Fermion,Th1N1,order
78264.cif,1.23,heavy-Fermion,La1Ni1Si1,order
77792.cif,1.315,others,Ru1Ti1P1,order
637658.cif,1.1,heavy-Fermion,Th1Pt2Ge2,order
194347.cif,1.65,others,Au1Sr1Si3,order
621955.cif,0.914,heavy-Fermion,Ce1Rh1Si3,order
102108.cif,2.037308,heavy-Fermion,Ce1Co1In5,order
78871.cif,5.05,others,Y2C2Br2,order
644398.cif,1.402,others,Mo3Si1,order
658854.cif,0.75,others,Y6Mo4Al43,order
626570.cif,0.07,others,Rh1Cr3,order
187693.cif,8.2,others,Nb1Si1As1,order
42981.cif,2.3,others,Nb2Se3,order
640737.cif,2.33,heavy-Fermion,La7Ir3,order
75688.cif,76.2,cuprate,Ba2Cu4Ho1O8,order
189911.cif,4.71,heavy-Fermion,Th1Pt4Ge12,order
617917.cif,3.9,others,Mo2Ga1C1,order
635683.cif,3.85,others,Zr5Ga3,order
102802.cif,2.66,others,Pb2Rh1,order
108149.cif,6.0,others,Ba1Rh2,order
157584.cif,6.0,heavy-Fermion,Pr1Pt2B2C1,order
674718.cif,3.835,others,W2C1,order
624958.cif,4.81,others,Sc5Co4Si10,order
106076.cif,6.6925,others,Ta3Sn1,order
108608.cif,1.97,others,Mo1Rh1,order
637485.cif,8.946667,others,Y5Os4Ge10,order
H4I1.cif,17.5,h_based,H4I1,order
644485.cif,5.84,others,Tl1Mo3Te3,order
635332.cif,2.1,others,Sc1Ga3,order
105224.cif,13.5,others,Nb1Ru3,order
99244.cif,3.34,heavy-Fermion,Ce1Ir3,order
104898.cif,0.88,others,Mg2Zn11,order
609713.cif,0.175,others,Zr1Al2,order
104300.cif,3.81,others,Hg1In1,order
Bi1H6.cif,113.0,h_based,Bi1H6,order
Y1H6.cif,290.0,h_based,Y1H6,order
168586.cif,17.0,iron-based,Sc2Sr4Fe2P2O6,order
85408.cif,2.686667,others,Ba1Ni2P2,order
290595.cif,11.0,iron-based,Ba1Fe2Se3,order
105590.cif,2.98,others,Pb2Pd1,order
638751.cif,5.815,others,Hf1Os1P1,order
628767.cif,3.794,others,Rh2Cu1S4,order
671192.cif,8.593333,others,Mo1Ga4,order
252376.cif,1.8,others,Mo6S8,order
41272.cif,1.8,others,Ta1Bi1.09Se3.09,order
604606.cif,8.0,others,Os1Zr1As1,order
191273.cif,7.0,others,Pb1Ca1,order
637142.cif,1.65,others,Mo5Ge3,order
81760.cif,1.04,heavy-Fermion,La1Pd2Ge2,order
104690.cif,7.575,heavy-Fermion,La1Os2,order
642559.cif,2.4,heavy-Fermion,Lu1Ru2Si2,order
105891.cif,2.2,others,Sc5Re24,order
640030.cif,7.3,others,Ti2In1N1,order
67637.cif,74.466667,cuprate,Ba2Cu4Dy1O8,order
Tb1H5.cif,79.3,h_based,Tb1H5,order
236258.cif,0.19,heavy-Fermion,Pr1Ti2Al20,order
24703.cif,0.37,heavy-Fermion,Th1B6,order
44324.cif,0.72,others,Ti1O1,order
609200.cif,3.35,others,Re24Al5,order
186177.cif,5.0,others,Na1C2,order
391192.cif,13.0325,heavy-Fermion,La3Ni2B2N3,order
603457.cif,2.55,others,Pr1Mo6S8,order
614715.cif,10.054,heavy-Fermion,Lu1Ru1B2,order
35593.cif,8.716667,others,Zr1Ru1As1,order
195266.cif,2.9,others,Nb4Ga1Se8,order
Zr4H15.cif,4.0,h_based,Zr4H15,order
653041.cif,7.6,others,Zr1Tc2,order
109266.cif,4.3,others,Hf5Re24,order
615923.cif,2.32,others,Hg1Ba1,order
174555.cif,0.7,heavy-Fermion,Nd1Pt4Ge12,order
659009.cif,6.966667,heavy-Fermion,Th1Ni2B2C1,order
611190.cif,1.15,others,Pd2As1,order
641017.cif,1.675,others,Ir1Ti1Si1,order
673464.cif,2.925,others,Ga1N1,order
642550.cif,3.72,heavy-Fermion,Lu5Rh4Si10,order
257744.cif,0.69,others,Y1V2Al20,order
609498.cif,0.045,heavy-Fermion,Th2Al1,order
105479.cif,1.981667,others,Zr2Ni1,order
Ca1Y1H12.cif,258.0,h_based,Ca1Y1H12,order
673897.cif,0.091333,others,Ir1,order
30838.cif,0.75,heavy-Fermion,La1Pd2P2,order
58149.cif,1.85,others,Re1Al6,order
641013.cif,2.215,heavy-Fermion,Th1Ir2Si2,order
641036.cif,1.949167,others,Y1Ir2Si2,order
181157.cif,2.892,others,Sr1Pd2Ge2,order
102806.cif,0.38,others,Zr2Ga1,order
641768.cif,1.835,heavy-Fermion,La7Ru3,order
641824.cif,0.84,others,La1S1,order
230026.cif,1.425,others,Eu3Bi2S4F4,order
53424.cif,1.375,others,Eu1,order
419206.cif,4.3,others,Ba1Sn3,order
649603.cif,0.88,others,Pt1Si1,order
15016.cif,0.93,others,Pd1Si1,order
H2S1.cif,86.0,h_based,H2S1,order
651601.cif,0.72,others,Ta3Sb1,order
Bi1H2.cif,39.0,h_based,Bi1H2,order
82529.cif,3.9,others,Ba2Sn3Sb6,order
156465.cif,7.61,others,Li2Pd3B1,order
15014.cif,1.24,others,Sn4P3,order
647841.cif,0.46,others,Os1Ti1,order
247662.cif,2.6,heavy-Fermion,La1Ni2P2,order
104265.cif,0.865,others,Hf1Rh1,order
193887.cif,2.5,heavy-Fermion,La1Rh1P1,order
H4Ta1.cif,31.0,h_based,H4Ta1,order
616961.cif,1.2,others,Bi1Pd1Te1,order
52303.cif,1.43,others,Sn1Sb1,order
201695.cif,1.4,others,Br2,order
615346.cif,10.95775,others,Y1Rh4B4,order
23864.cif,0.21,others,Pd4Se1,order
Pu1Co1Ga5.cif,18.5,others,Pu1Co1Ga5,order
642558.cif,1.545,heavy-Fermion,Lu1Ru2,order
H1Se2.cif,5.0,h_based,H1Se2,order
641633.cif,6.923333,heavy-Fermion,La1Ru4P12,order
44921.cif,0.56,others,Lu1Se1,order
641257.cif,2.1,others,K2Mo15Se19,order
Zr1H10.cif,220.0,h_based,Zr1H10,order
59473.cif,0.7,others,Pd1In1,order
611576.cif,0.9,others,W1As2,order
57248.cif,0.465,heavy-Fermion,Er2Fe3Si5,order
Tb1H4.cif,41.3,h_based,Tb1H4,order
174267.cif,1.875,others,Pt1Ba1Si3,order
153549.cif,6.0,others,Mg1Al1Si1,order
636714.cif,2.55,heavy-Fermion,Lu5Ir4Ge10,order
641777.cif,3.7032,heavy-Fermion,La1Ru2,order
638834.cif,1.15,others,Hf1Rh1Si1,order
615710.cif,5.692857,others,Y1B6,order
La1Y3H24.cif,145.0,h_based,La1Y3H24,order
168583.cif,3.075,others,La1Fe4P12,order
646550.cif,3.7,others,Tl1Ni2Se2,order
629953.cif,1.6,others,Dy1Mo6S8,order
58535.cif,0.185,heavy-Fermion,Lu1Au1,order
602553.cif,1.7475,others,La1C2,order
53119.cif,4.575,others,Tl2Mo6Se6,order
641498.cif,3.6,heavy-Fermion,La3Ni1,order
636837.cif,3.4,heavy-Fermion,La1Pt1Ge1,order
H2Ti1.cif,7.0,h_based,H2Ti1,order
635132.cif,1.74,others,Pt1Ga1,order
670749.cif,9.85,others,Zr1N1,order
44425.cif,2.09,heavy-Fermion,Th1Ir3B2,order
644856.cif,8.95,others,V1N1,order
194235.cif,6.1,others,Ir4Ba3Ge16,order
427113.cif,0.785,others,Y1Pd2Si2,order
641991.cif,6.358286,heavy-Fermion,La1Sn3,order
183085.cif,0.80775,heavy-Fermion,La1Os4Sb12,order
642481.cif,3.49,heavy-Fermion,Lu1Os2,order
Ge1H4.cif,57.0,h_based,Ge1H4,order
181258.cif,0.085,others,Cu2Sb1,order
58504.cif,3.02,others,Sc1Au2In1,order
96228.cif,0.6,others,Ca2In1N1,order
674882.cif,3.755,others,Sn1As1,order
608265.cif,3.23,heavy-Fermion,La1Al2,order
640836.cif,7.9,others,Ir1Nb1,order
157439.cif,6.318,others,Os2Rb1O6,order
602898.cif,3.4625,others,Rh2Cu1Se4,order
43358.cif,2.29,others,Cd1Sn1As2,order
161758.cif,1.3,heavy-Fermion,Ce1Bi1Pd1,order
N1S2H7.cif,46.4,h_based,N1S2H7,order
23188.cif,7.5,others,Mo2B1C1,order
1244.cif,4.189,others,Bi3In5,order
N1S1H5.cif,49.9,h_based,N1S1H5,order
88075.cif,2.35,others,Y1Ge3,order
196975.cif,3.005,others,Pt1V3,order
58931.cif,7.4775,others,Ca3Rh4Sn13,order
H2Ta1.cif,7.1,h_based,H2Ta1,order
H6La1.cif,170.0,h_based,H6La1,order
605927.cif,2.225,heavy-Fermion,Th2Ag1,order
236263.cif,0.029667,heavy-Fermion,Pr1V2Al20,order
193321.cif,2.1,heavy-Fermion,Ce1Pt2In7,order
652176.cif,3.25,others,Y1Se1,order
Li6Au1H1.cif,2.79,h_based,Li6Au1H1,order
638828.cif,1.72,others,Hf2Rh1,order
H5Te2.cif,58.0,h_based,H5Te2,order
183018.cif,1.535,others,Y1Te1,order
608280.cif,5.986667,heavy-Fermion,La3Al1,order
191907.cif,0.25,others,Mo1B1,order
672496.cif,9.5,others,Nb1,order
651405.cif,1.9,others,Y1S1,order
657497.cif,1.2,others,I2,order
Mg1V1H6.cif,27.6,h_based,Mg1V1H6,order
647834.cif,1.51,heavy-Fermion,Th7Os3,order
651832.cif,10.9,others,Sc1Tc2,order
236470.cif,1.175,heavy-Fermion,La1N1,order
648282.cif,2.76,others,W3P1,order
58122.cif,3.4,others,Zr1Pd2Al1,order
53895.cif,1.1,heavy-Fermion,Th1Rh2Ge2,order
156997.cif,0.48,heavy-Fermion,La3Ni4Si4,order
391427.cif,3.0,others,La1Ni1P1O1,order
57906.cif,3.66,others,Hf1Pd2Al1,order
642070.cif,1.566667,heavy-Fermion,La1Tl3,order
641056.cif,5.016667,others,Ir4Sr3Sn13,order
Tb1H9.cif,226.3,h_based,Tb1H9,order
616739.cif,2.715,others,Ir1Bi2,order
410838.cif,5.52,others,Rh17S15,order
659383.cif,2.35,others,Ag1In2,order
Ba1C3H12.cif,43.7,h_based,Ba1C3H12,order
617900.cif,3.6,others,Y2Fe1C4,order
645534.cif,1.746667,others,Nb3Te4,order
H1Se1.cif,40.0,h_based,H1Se1,order
650471.cif,0.36,heavy-Fermion,Th1Rh1,order
40795.cif,3.933333,heavy-Fermion,La1Ru2P2,order
58602.cif,3.365,heavy-Fermion,Th2Au1,order
23786.cif,3.6,others,Ir1Mo2B2,order
656946.cif,2.59,heavy-Fermion,La7Rh3,order
670737.cif,6.0,heavy-Fermion,La1Cu1,order
65053.cif,2.66,others,Pd34Se11,order
H2I1.cif,33.0,h_based,H2I1,order
642071.cif,8.905,heavy-Fermion,La3Tl1,order
70062.cif,7.0,others,Ba6C60,order
La1S1H6.cif,35.0,h_based,La1S1H6,order
187031.cif,6.7,others,Ag1B2,order
404168.cif,6.0,heavy-Fermion,La9B3C6Br5,order
180963.cif,2.3,others,Pt1Ca1Si3,order
198663.cif,0.67,heavy-Fermion,Lu1Pd2Si2,order
38342.cif,1.473333,heavy-Fermion,La1Ir1Si3,order
614694.cif,4.655,heavy-Fermion,Lu1Os3B2,order
108146.cif,5.075,others,Ir2Ca1,order
400298.cif,9.985,others,Y2C2I2,order
Sc1H6.cif,129.0,h_based,Sc1H6,order
106037.cif,0.65,others,V3Sb1,order
637839.cif,1.3,others,Sc1Ge2,order
637671.cif,2.7,others,Re1Ge2,order
610778.cif,10.3,heavy-Fermion,La1Ru4As12,order
76344.cif,3.8,others,Y1Ge2,order
629705.cif,2.95,heavy-Fermion,Dy1Ga6,order
167533.cif,0.08,heavy-Fermion,Yb1B4Al1,order
150517.cif,1.83,others,Y1Re2,order
642575.cif,1.1,others,Lu1S1,order
180617.cif,2.0,others,Nb2C1As1,order
634281.cif,1.3,others,Sr1Ga1Ge1,order
Ce1H9.cif,117.0,h_based,Ce1H9,order
262509.cif,2.08,others,Ca1Ni1B1N1,order
110778.cif,1.652222,heavy-Fermion,Ce1Rh1In5,order
79575.cif,7.532353,heavy-Fermion,Ho1Ni2B2C1,order
616760.cif,0.64,heavy-Fermion,La5Bi3,order
104763.cif,7.2,others,Pb1Li1,order
641095.cif,3.93,heavy-Fermion,Th1Ir5,order
649158.cif,2.36,others,Zr2Pd1,order
644106.cif,12.45,others,Pb1Mo6S8,order
105717.cif,0.75,heavy-Fermion,Th2Pd1,order
43281.cif,1.9425,others,Nb3Se4,order
59187.cif,2.425,others,Pt1Sr1As1,order
609502.cif,2.6,heavy-Fermion,Th3Al2,order
675032.cif,10.2,others,Pt2Sr1Ge2,order
290700.cif,16.475,iron-based,Li1Fe1As1,order
423290.cif,3.025,heavy-Fermion,La2Sb1,order
56051.cif,0.99,heavy-Fermion,U5Ge3,order
44868.cif,4.35,others,Rh1Se2,order
92576.cif,0.24,others,Ba6Ge25,order
58845.cif,1.21,others,Pt1Bi1,order
636767.cif,2.76,others,Y5Ir4Ge10,order
180269.cif,3.525,others,Sc2Sr4Ni2P2O6,order
636754.cif,1.1,heavy-Fermion,U1Ir2Ge2,order
102811.cif,0.67,heavy-Fermion,Th2Zn1,order
Be1H2.cif,62.0,h_based,Be1H2,order
672137.cif,3.055,others,Mo1Ge2,order
636927.cif,3.6,heavy-Fermion,Lu3Os4Ge13,order
649646.cif,1.57,others,Y1Pt2Si2,order
26570.cif,2.41,heavy-Fermion,Th1Si1,order
171030.cif,1.0,others,Pd1Sb1Se1,order
170218.cif,4.44,others,Bi3Ba2,order
56645.cif,0.05,heavy-Fermion,Ce1Ni2B2C1,order
Sc1H12.cif,141.0,h_based,Sc1H12,order
604422.cif,7.833333,heavy-Fermion,Yb3Rh4Sn13,order
150225.cif,0.770429,heavy-Fermion,Ce1Ir1In5,order
615149.cif,2.22,others,Y1Os1B2,order
645349.cif,1.1,others,Nb3Sb1,order
603458.cif,3.5,others,Nd1Mo6S8,order
198620.cif,15.5,others,Mo1Ni1P1,order
151402.cif,0.925,others,Mg1Zn1,order
651750.cif,1.3,heavy-Fermion,Yb1Sb2,order
90433.cif,1.24,others,Pt1Nb1Si1,order
168862.cif,1.5,others,Sr1Pd1Ge3,order
Sc1H4.cif,98.0,h_based,Sc1H4,order
246448.cif,2.728,others,Pt3Li2B1,order
90703.cif,1.475,others,Ba24Si100,order
57484.cif,5.1,others,Rh1Ti1Si1,order
58724.cif,1.47,others,Be17Nb2,order
632825.cif,6.8,others,Nb4Fe1Si1,order
150755.cif,3.746667,others,Bi1Pd1,order
197258.cif,0.46,others,Au1Zr3,order
257264.cif,6.09,others,Zr1B12,order
641065.cif,5.7,others,Ir2Sr1,order
42917.cif,10.0,others,Mo3Al2C1,order
637137.cif,2.1792,others,Mo3Ge1,order
625521.cif,1.7,heavy-Fermion,U1Co1,order
620856.cif,1.32,heavy-Fermion,Ce1Cu2Ge2,order
H14Sn1.cif,97.0,h_based,H14Sn1,order
621428.cif,1.53,heavy-Fermion,Ce1Ir1Si3,order
81177.cif,90.833333,cuprate,Ba2Cu3O7Tm1,order
